trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",20,2,-65.35473864890177,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,0,-163.24292058049656,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",20,0,-39.43949010101326,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",25,17,-24.021106225000594,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",25,13,-7.395269671048588,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",35,0,-124.69426170451212,"{0: 27, 1: 2, 2: 3, 3: 0, 4: 3}",0
178,False,"{'a': 0.002, 'e': 0.701874967355394}",20,0,-121.58878573432833,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",30,0,-184.17705635992675,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",25,1,-57.587808412959745,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 0}",1
181,False,"{'a': 0.002, 'e': 0.697676326071031}",30,0,-55.232024549749966,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
